"x1","x2","long","lat"
"河北省","石家庄市",114.5143,38.04276
"山西省","太原市",112.55067,37.87059
"辽宁省","沈阳市",123.46436,41.67724
"吉林省","长春市",125.32357,43.81602
"黑龙江省","哈尔滨市",126.5358,45.80216
"江苏省","南京市",118.79647,32.05838
"浙江省","杭州市",120.15515,30.27415
"安徽省","合肥市",117.22901,31.82057
"福建省","福州市",119.29647,26.07421
"江西省","南昌市",115.85794,28.68202
"山东省","济南市",117.12009,36.65184
"河南省","郑州市",113.62493,34.74725
"广东省","广州市",113.26436,23.12908
"湖南省","长沙市",112.93886,28.22778
"湖北省","武汉市",114.30525,30.59276
"海南省","海口市",110.19989,20.04422
"四川省","成都市",104.06476,30.5702
"贵州省","贵阳市",106.63024,26.64702
"云南省","昆明市",102.83322,24.87966
"陕西省","西安市",108.93984,34.34127
"甘肃省","兰州市",103.83417,36.06138
"青海省","西宁市",101.77782,36.61729
"台湾省","台北市",NA,NA
"内蒙古自治区","呼和浩特市",111.75199,40.84149
"广西壮族自治区","南宁市",108.3669,22.81673
"西藏自治区","拉萨市",91.1145,29.64415
"宁夏回族自治区","银川市",106.23248,38.48644
"新疆维吾尔自治区","乌鲁木齐市",87.61688,43.82663
"北京市","北京",116.40717,39.90469
"天津市","天津",117.19937,39.0851
"上海市","上海",121.4737,31.23037
"重庆市","重庆",106.55073,29.56471
"香港特别行政区","香港",114.16546,22.27534
"澳门特别行政区","澳门",113.54294,22.18684
